"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"26","1","0","794","1","1.11","256","1.90085349580805","3.0264586943963","5.76461005905111","2.3850774046189","2.64044619674969"
"27","1","1","1027","0","1.25","240","1.67983090443876","1.63104127868082","2.74499155201545","1.89330543933054","1.51461676766331"
"28","1","0","504","0","1.25","236","1.20714913565778","1.74885048358966","2.10212576185521","1.65650406504065","1.32525911261209"
"29","1","1","2868","1","1.2","13","2.62595778870838","2.37365318154096","6.22069954585292","2.40822033898305","2.88985999838148"
"30","1","1","1706","0","2","70","1.52488443297112","1.14738884228188","1.33292181069959","1.64217094999589","1.21787074404593"
"31","1","1","2687","1","1.2","16","1.5997882986913","3.47806127379917","5.5690537084399","2.26149517684887","2.71380905592402"
"32","1","1","770","0","1.5","243","1.79621162638798","1.35828591749644","2.43660298921113","1.95544466227054","1.30360331967644"
"33","1","1","726","0","1.2","50","1.72496152008917","1.57839100598628","2.72155920644761","1.84653580572581","1.53872538931193"
"34","1","1","930","0","2","249","1.00659927965609","1.18991171204544","1.19772613155441","1.56389049706393","1.27884306373862"
"35","1","1","941","0","1.5","241","1.38812856037696","1.14384271993507","1.58777827107249","1.52133622300276","1.0142276192526"
"36","1","1","466","1","1.11","253","1.76709384701106","3.98228976951579","7.0370925814837","2.6334456463912","2.92611409038166"
"37","1","1","573","1","1.25","271","1.50687616578673","6.15659304324825","9.27755302578898","2.86315789473684","3.57904729993857"
"38","1","0","1999","0","1.14","45","1.78081657589268","1.73070650247004","3.0721418256675","1.9453642384106","1.71191871495426"
"39","1","1","584","0","2","72","1.37241671146082","1.08245173506771","1.48900710889318","1.74824696425517","1.14401868350489"
"40","1","0","585","0","1.11","42","1.79191144781908","1.69392435454106","3.03558002966696","1.87121338912134","1.6840913631218"
"41","1","0","786","0","1.11","222","1.71234805727354","1.48632863425403","2.54528364697358","1.69185185185185","1.52266177626408"
"42","1","1","764","0","1.14","228","1.71912192541656","1.65175237246908","2.83511090136857","1.81705050505051","1.58986560349817"
"43","1","1","2183","1","1.11","257","1.65330069674815","3.41214131440913","5.65752970891474","2.36455170209366","2.63473837209302"
"44","1","1","921","1","2","33","3.35662249185708","2.19010481142197","7.34892787524366","1.95943623238226","3.91883019994032"
"45","1","1","845","1","1.14","259","2.4428766979046","2.3095412887489","5.63762405865044","2.30590146182999","2.63528129011835"
"46","1","0","868","1","1.14","7","1.98852992881639","3.28851133955897","6.52682761350144","2.47055916989212","2.82359990263449"
"47","1","0","885","1","1.5","280","2.17943129663342","3.42697216991002","7.4642881094494","2.35184283162851","3.52772590060726"
"48","1","1","794","1","2","286","2.90024259890922","4.44047353138262","12.8751867445335","2.58926342072409","5.17831437665998"
"49","1","0","756","0","1.14","48","1.73897434171407","1.72363649887498","3.00607097406797","1.88288747346072","1.64756369534365"
"50","1","1","1167","0","1.11","38","1.29399585921325","1.99840652020585","2.57423861953512","1.70446153846154","1.54212091179386"
"51","1","1","602","1","2","284","2.80197150766322","3.55599159074982","9.98675183345162","2.30732233186831","4.61453658991041"
"52","1","0","858","1","1.11","258","1.80531565164094","3.00902802646211","5.43718888492155","2.3130803062388","2.57007057467953"
"53","1","1","797","1","2","285","3.27756579591038","5.74447250425192","18.8540813110621","3.1421268886085","6.28448383472725"
"54","1","0","1750","0","2","251","1.04323206578584","1.28340352220521","1.33890455094644","1.67492687682808","1.19401389631213"
"55","1","1","890","0","1.11","218","1.58976446049753","1.49011496722897","2.37694725334791","1.6641572232348","1.50566953346466"
"56","1","1","1151","1","1.25","274","2.07577841690634","2.73546511627907","5.68229734641948","2.21429117894576","2.76778570186119"
"57","1","1","862","1","1.11","254","1.7025033104231","4.65880128257831","7.91694748302141","2.78454159749124","3.07770755751966"
"58","1","1","1253","1","1.14","264","1.82911775927464","3.54125615763547","6.48847225741069","2.48471908230763","2.83970453853183"
